,x,y,z,conf
252,68.90623,-196.5748,63.661,230.0
253,69.61295,-211.7479,63.661,230.0
254,69.74323,-227.32445,63.661,230.0
255,70.25636,-242.99785,63.661,230.0
256,71.127945,-258.68887,63.661,230.0
257,69.68675,-275.7702,63.661,230.0
258,71.418495,-291.77783,63.661,230.0
259,71.75741,-308.7252,63.661,230.0
260,71.65433,-326.2602,63.661,230.0
261,72.90043,-343.46927,63.661,228.0
262,74.60368,-360.7817,63.661,230.0
263,65.55704,218.45624,75.53,230.0
264,65.63356,202.8182,75.53,230.0
265,66.06251,187.20111,75.53,230.0
266,65.90497,171.96654,75.53,232.0
267,66.109695,156.81862,75.53,228.0
268,64.72103,142.20277,75.53,230.0
269,65.62896,127.20999,75.53,230.0
270,65.903046,112.50358,75.53,230.0
271,65.5278,98.02564,75.53,230.0
272,66.47335,83.4565,75.53,230.0
273,65.76346,69.19543,75.53,230.0
274,66.3703,54.85802,75.53,230.0
275,65.30426,40.710228,75.53,230.0
276,66.55613,26.549164,75.53,230.0
277,67.1235,12.50344,75.53,230.0
278,68.00179,-1.504155,75.53,196.0
279,66.19048,-15.540283,75.53,186.0
280,67.68859,-29.517406,75.53,228.0
281,65.503845,-43.710766,75.53,228.0
282,67.62254,-57.652027,75.53,230.0
283,67.06618,-71.85939,75.53,228.0
284,67.82073,-85.98474,75.53,230.0
285,67.903305,-100.2685,75.53,230.0
286,68.30941,-114.59057,75.53,230.0
287,69.04077,-128.94362,75.53,230.0
288,69.12844,-143.5621,75.53,230.0
289,70.53801,-158.04622,75.53,230.0
290,70.35224,-173.0685,75.53,230.0
291,70.5252,-188.17671,75.53,232.0
292,70.1091,-203.66998,75.53,230.0
293,71.01754,-218.94534,75.53,230.0
294,71.35884,-234.63011,75.53,230.0
295,72.088974,-250.40717,75.53,230.0
296,70.451035,-267.4399,75.53,230.0
297,71.08669,-283.84512,75.53,230.0
298,73.04545,-299.92163,75.53,230.0
299,71.84134,-317.8564,75.53,230.0
300,72.924736,-335.10837,75.53,230.0
301,72.686806,-353.38104,75.53,230.0
302,65.38039,227.0109,83.498,230.0
303,65.22876,211.24979,83.498,228.0
304,64.50633,195.88976,83.498,230.0
305,65.11321,180.3296,83.498,230.0
306,66.09551,164.89423,83.498,230.0
307,65.501656,150.05283,83.498,230.0
308,66.23099,135.05864,83.498,230.0
309,67.28099,120.01105,83.498,230.0
310,65.73772,105.642586,83.498,230.0
311,65.50999,91.12314,83.498,230.0
312,66.60623,76.5267,83.498,230.0
313,65.05085,62.318336,83.498,230.0
314,65.80846,47.927975,83.498,228.0
315,66.89113,33.602905,83.498,230.0
316,67.296776,19.381073,83.498,228.0
317,67.02138,5.202514,83.498,230.0
318,66.06378,-8.992841,83.498,184.0
319,67.42365,-23.155321,83.498,230.0
320,68.10112,-37.320362,83.498,230.0
321,68.059975,-51.06671,87.482,230.0
322,67.366936,-65.35598,87.482,230.0
323,66.99789,-79.70148,87.482,230.0
324,68.933266,-93.80179,87.482,230.0
325,67.240265,-108.53163,87.482,228.0
326,68.83709,-122.810356,87.482,228.0
327,68.80237,-137.49745,87.482,230.0
328,70.08234,-152.0123,87.482,230.0
329,68.79686,-167.30688,87.482,230.0
330,68.84331,-182.45612,87.482,230.0
331,69.25342,-197.68597,87.482,230.0
332,70.03078,-212.98775,87.482,230.0
333,70.24612,-228.7139,87.482,230.0
334,70.85976,-244.55583,87.482,230.0
335,70.9456,-260.86694,87.482,230.0
336,72.36402,-276.8918,87.482,230.0
337,72.375534,-293.83078,87.482,230.0
338,72.833954,-310.90634,87.482,230.0
339,72.859566,-328.57095,87.482,230.0
340,74.24034,-345.9044,87.482,230.0
341,66.169556,220.22708,95.367,230.0
342,66.131035,204.36765,95.367,230.0
343,66.50385,188.68924,95.367,230.0
344,66.29403,173.39476,95.367,230.0
345,66.44956,158.18611,95.367,230.0
346,66.96649,143.07193,95.367,230.0
347,65.88047,128.45786,95.367,230.0
348,66.11479,113.690575,95.367,230.0
349,65.702995,99.152985,95.367,230.0
350,66.61461,84.52188,95.367,230.0
351,65.87405,70.20166,95.367,230.0
352,66.45282,55.802994,95.367,230.0
353,67.357445,41.465584,95.367,230.0
354,66.59381,27.433592,95.367,228.0
355,67.13862,13.2465105,95.367,228.0
356,66.00065,-0.90534955,95.367,186.0
357,67.17903,-15.053902,95.367,230.0
358,67.67368,-29.196358,95.367,230.0
359,68.48435,-43.324223,95.367,228.0
360,66.62302,-57.702618,95.367,230.0
361,66.083984,-72.072784,95.367,230.0
362,67.85352,-86.22547,95.367,230.0
363,67.963875,-100.64959,95.367,230.0
364,68.40417,-115.11172,95.367,230.0
365,69.17615,-129.60428,95.367,230.0
366,68.329506,-144.55583,95.367,230.0
367,68.81261,-159.38467,95.367,230.0
368,70.60831,-173.99742,95.367,230.0
369,70.82757,-189.18523,95.367,230.0
370,70.46229,-204.75905,95.367,228.0
371,70.48127,-220.44312,95.367,230.0
372,70.889244,-236.22798,95.367,230.0
373,71.69072,-252.10405,95.367,230.0
374,71.05093,-268.84766,95.367,230.0
375,71.7595,-285.33115,95.367,230.0
376,71.09147,-302.78384,95.367,230.0
377,72.67564,-319.49982,95.367,230.0
378,73.74543,-336.6396,95.367,230.0
379,73.57468,-354.95255,95.367,230.0
380,63.4785,218.56207,107.236,230.0
381,66.38715,201.89046,107.236,230.0
382,65.88162,186.58746,107.236,230.0
383,65.74155,171.36281,107.236,230.0
384,66.93413,155.9859,107.236,230.0
385,66.542534,141.18301,107.236,230.0
386,65.51417,126.636215,107.236,230.0
387,65.80334,111.94012,107.236,230.0
388,65.45487,97.55247,107.236,230.0
389,67.38444,82.713646,107.236,230.0
390,65.681564,68.44064,107.236,230.0
391,67.289856,53.878353,107.236,230.0
392,67.23469,39.548157,107.236,230.0
393,66.50432,25.282734,107.236,230.0
394,67.09536,10.987121,107.236,230.0
395,67.00847,-3.2741914,107.236,230.0
396,67.24289,-17.533842,107.236,230.0
397,67.7985,-31.784592,107.236,230.0
398,65.68296,-46.23731,107.236,230.0
399,68.87654,-60.325615,107.236,230.0
400,68.395424,-74.64355,107.236,230.0
401,68.25131,-89.09316,107.236,230.0
402,68.43862,-103.586784,107.236,230.0
403,68.95925,-118.11679,107.236,230.0
404,69.81494,-132.6755,107.236,230.0
405,69.05988,-147.71109,107.236,230.0
406,68.66426,-162.8471,107.236,230.0
407,70.55709,-177.53204,107.236,230.0
408,70.879814,-192.79987,107.236,230.0
409,68.724884,-209.08546,107.236,228.0
410,69.81343,-224.5571,107.236,230.0
411,70.34618,-240.4414,107.236,228.0
412,70.408005,-256.93173,107.236,230.0
413,70.818695,-273.36218,107.236,230.0
414,72.56031,-289.48303,107.236,230.0
415,72.01547,-306.97952,107.236,228.0
416,73.719925,-323.7256,107.236,230.0
417,72.350815,-342.46387,107.236,230.0
418,74.11197,-359.928,107.236,228.0
419,64.72672,222.16406,115.204,230.0
420,65.62241,206.04388,115.204,230.0
421,65.003,190.651,115.204,228.0
422,66.680756,174.802,115.204,230.0
423,64.81747,159.90044,115.204,230.0
424,65.27632,144.66115,115.204,230.0
425,65.11765,129.72437,115.204,230.0
426,66.29234,114.67609,115.204,230.0
427,65.84524,100.058655,115.204,230.0
428,66.72511,85.34589,115.204,230.0
429,65.95691,70.94616,115.204,230.0
430,66.511604,56.466415,115.204,230.0
431,65.400276,42.18041,115.204,228.0
432,67.608185,27.741514,115.204,230.0
433,67.14371,13.487502,115.204,230.0
